Borough,Sector,Year,Employee jobs
Newham,Other services,2016,2250
Newham,Primary & Utilities,2017,1750
Newham,Manufacturing,2017,3500
Newham,Construction,2017,7000
Newham,Wholesale,2017,3500
Newham,Retail,2017,17000
Newham,Transportation and Storage,2017,6000
Newham,Accomodation and food service activities,2017,9000
Newham,Information and Communication,2017,3000
Newham,Financial and insurance activities,2017,1500
Newham,"Professional, Real Estate, Scientific and technical activities",2017,8000
Newham,Administrative and support service activities,2017,14000
Newham,Public Admin and defence,2017,4500
Newham,Education,2017,12000
Newham,Health,2017,12000
Newham,"Arts, entertainment and recreation",2017,2250
Newham,Other services,2017,2250
Newham,Primary & Utilities,2018,1750
Newham,Manufacturing,2018,4000
Newham,Construction,2018,7000
Newham,Wholesale,2018,3500
Newham,Retail,2018,17000
Newham,Transportation and Storage,2018,7000
Newham,Accomodation and food service activities,2018,9000
Newham,Information and Communication,2018,3000
Newham,Financial and insurance activities,2018,1250
Newham,"Professional, Real Estate, Scientific and technical activities",2018,8000
Newham,Administrative and support service activities,2018,15000
Newham,Public Admin and defence,2018,6000
Newham,Education,2018,12000
Newham,Health,2018,11000
Newham,"Arts, entertainment and recreation",2018,2500
Newham,Other services,2018,3000
Newham,Primary & Utilities,2019,1750
Newham,Manufacturing,2019,4500
Newham,Construction,2019,7000
Newham,Wholesale,2019,3500
Newham,Retail,2019,16000
Newham,Transportation and Storage,2019,8000
Newham,Accomodation and food service activities,2019,10000
Newham,Information and Communication,2019,3000
Newham,Financial and insurance activities,2019,1250
Newham,"Professional, Real Estate, Scientific and technical activities",2019,7000
Newham,Administrative and support service activities,2019,15000
Newham,Public Admin and defence,2019,6000
Newham,Education,2019,12000
Newham,Health,2019,11000
Newham,"Arts, entertainment and recreation",2019,2250
Newham,Other services,2019,2500
Newham,Primary & Utilities,2020,2000
Newham,Manufacturing,2020,4500
Newham,Construction,2020,6000
Newham,Wholesale,2020,3500
Newham,Retail,2020,18000
Newham,Transportation and Storage,2020,9000
Newham,Accomodation and food service activities,2020,9000
Newham,Information and Communication,2020,2500
Newham,Financial and insurance activities,2020,1000
Newham,"Professional, Real Estate, Scientific and technical activities",2020,11000
Newham,Administrative and support service activities,2020,12000
Newham,Public Admin and defence,2020,10000
Newham,Education,2020,13000
Newham,Health,2020,11000
Newham,"Arts, entertainment and recreation",2020,2250
Newham,Other services,2020,3000
Newham,Primary & Utilities,2021,1750
Newham,Manufacturing,2021,4500
Newham,Construction,2021,8000
Newham,Wholesale,2021,3500
Newham,Retail,2021,17000
Newham,Transportation and Storage,2021,8000
Newham,Accomodation and food service activities,2021,10000
Newham,Information and Communication,2021,2500
Newham,Financial and insurance activities,2021,1250
Newham,"Professional, Real Estate, Scientific and technical activities",2021,11000
Newham,Administrative and support service activities,2021,13000
Newham,Public Admin and defence,2021,15000
Newham,Education,2021,13000
Newham,Health,2021,11000
Newham,"Arts, entertainment and recreation",2021,2250
Newham,Other services,2021,3500
Redbridge,Primary & Utilities,1996,200
Redbridge,Manufacturing,1996,4500
Redbridge,Construction,1996,2500
Redbridge,Wholesale,1996,3000
Redbridge,Retail,1996,8000
Redbridge,Transportation and Storage,1996,2250
Redbridge,Accomodation and food service activities,1996,3500
Redbridge,Information and Communication,1996,2250
Redbridge,Financial and insurance activities,1996,3500
Redbridge,"Professional, Real Estate, Scientific and technical activities",1996,4500
Redbridge,Administrative and support service activities,1996,4000
Redbridge,Public Admin and defence,1996,3000
Redbridge,Education,1996,4500
Redbridge,Health,1996,9000
Redbridge,"Arts, entertainment and recreation",1996,1000
Redbridge,Other services,1996,1750
Redbridge,Primary & Utilities,1997,175
Redbridge,Manufacturing,1997,4500
Redbridge,Construction,1997,3000
Redbridge,Wholesale,1997,3500
Redbridge,Retail,1997,8000
Redbridge,Transportation and Storage,1997,2500
Redbridge,Accomodation and food service activities,1997,2500
Redbridge,Information and Communication,1997,2500
Redbridge,Financial and insurance activities,1997,2250
Redbridge,"Professional, Real Estate, Scientific and technical activities",1997,5000
Redbridge,Administrative and support service activities,1997,4500
Redbridge,Public Admin and defence,1997,3500
Redbridge,Education,1997,5000
Redbridge,Health,1997,8000
Redbridge,"Arts, entertainment and recreation",1997,900
Redbridge,Other services,1997,1750
Redbridge,Primary & Utilities,1998,225
Redbridge,Manufacturing,1998,4500
Redbridge,Construction,1998,3500
Redbridge,Wholesale,1998,3500
Redbridge,Retail,1998,9000
Redbridge,Transportation and Storage,1998,2500
Redbridge,Accomodation and food service activities,1998,3000
Redbridge,Information and Communication,1998,2500
Redbridge,Financial and insurance activities,1998,2500
Redbridge,"Professional, Real Estate, Scientific and technical activities",1998,5000
Redbridge,Administrative and support service activities,1998,5000
Redbridge,Public Admin and defence,1998,3000
Redbridge,Education,1998,6000
Redbridge,Health,1998,8000
Redbridge,"Arts, entertainment and recreation",1998,800
Redbridge,Other services,1998,1500
Redbridge,Primary & Utilities,1999,150
Redbridge,Manufacturing,1999,5000
Redbridge,Construction,1999,3500
Redbridge,Wholesale,1999,3500
Redbridge,Retail,1999,9000
Redbridge,Transportation and Storage,1999,2500
Redbridge,Accomodation and food service activities,1999,3500
Redbridge,Information and Communication,1999,3000
Redbridge,Financial and insurance activities,1999,2250
Redbridge,"Professional, Real Estate, Scientific and technical activities",1999,6000
Redbridge,Administrative and support service activities,1999,6000
Redbridge,Public Admin and defence,1999,3500
Redbridge,Education,1999,6000
Redbridge,Health,1999,8000
Redbridge,"Arts, entertainment and recreation",1999,800
Redbridge,Other services,1999,1750
Redbridge,Primary & Utilities,2000,150
Redbridge,Manufacturing,2000,5000
Redbridge,Construction,2000,3500
Redbridge,Wholesale,2000,3500
Redbridge,Retail,2000,10000
Redbridge,Transportation and Storage,2000,4000
Redbridge,Accomodation and food service activities,2000,4000
Redbridge,Information and Communication,2000,3500
Redbridge,Financial and insurance activities,2000,2250
Redbridge,"Professional, Real Estate, Scientific and technical activities",2000,6000
Redbridge,Administrative and support service activities,2000,6000
Redbridge,Public Admin and defence,2000,3500
Redbridge,Education,2000,7000
Redbridge,Health,2000,7000
Redbridge,"Arts, entertainment and recreation",2000,800
Redbridge,Other services,2000,1750
Redbridge,Primary & Utilities,2001,175
Redbridge,Manufacturing,2001,4000
Redbridge,Construction,2001,4000
Redbridge,Wholesale,2001,3500
Redbridge,Retail,2001,10000
Redbridge,Transportation and Storage,2001,3000
Redbridge,Accomodation and food service activities,2001,4500
Redbridge,Information and Communication,2001,3500
Redbridge,Financial and insurance activities,2001,2000
Redbridge,"Professional, Real Estate, Scientific and technical activities",2001,7000
Redbridge,Administrative and support service activities,2001,7000
Redbridge,Public Admin and defence,2001,3500
Redbridge,Education,2001,6000
Redbridge,Health,2001,5000
Redbridge,"Arts, entertainment and recreation",2001,800
Redbridge,Other services,2001,1750
Redbridge,Primary & Utilities,2002,150
Redbridge,Manufacturing,2002,3000
Redbridge,Construction,2002,3500
Redbridge,Wholesale,2002,3000
Redbridge,Retail,2002,9000
Redbridge,Transportation and Storage,2002,3000
Redbridge,Accomodation and food service activities,2002,4500
Redbridge,Information and Communication,2002,3000
Redbridge,Financial and insurance activities,2002,2000
Redbridge,"Professional, Real Estate, Scientific and technical activities",2002,7000
Redbridge,Administrative and support service activities,2002,7000
Redbridge,Public Admin and defence,2002,3500
Redbridge,Education,2002,7000
Redbridge,Health,2002,8000
Redbridge,"Arts, entertainment and recreation",2002,1000
Redbridge,Other services,2002,2000
Redbridge,Primary & Utilities,2003,150
Redbridge,Manufacturing,2003,3000
Redbridge,Construction,2003,4500
Redbridge,Wholesale,2003,3000
Redbridge,Retail,2003,9000
Redbridge,Transportation and Storage,2003,2500
Redbridge,Accomodation and food service activities,2003,4500
Redbridge,Information and Communication,2003,3000
Redbridge,Financial and insurance activities,2003,1750
Redbridge,"Professional, Real Estate, Scientific and technical activities",2003,6000
Redbridge,Administrative and support service activities,2003,6000
Redbridge,Public Admin and defence,2003,3500
Redbridge,Education,2003,7000
Redbridge,Health,2003,9000
Redbridge,"Arts, entertainment and recreation",2003,900
Redbridge,Other services,2003,1750
Redbridge,Primary & Utilities,2004,150
Redbridge,Manufacturing,2004,3000
Redbridge,Construction,2004,4500
Redbridge,Wholesale,2004,3000
Redbridge,Retail,2004,9000
Redbridge,Transportation and Storage,2004,2250
Redbridge,Accomodation and food service activities,2004,4500
Redbridge,Information and Communication,2004,2500
Redbridge,Financial and insurance activities,2004,1500
Redbridge,"Professional, Real Estate, Scientific and technical activities",2004,8000
Redbridge,Administrative and support service activities,2004,7000
Redbridge,Public Admin and defence,2004,4000
Redbridge,Education,2004,7000
Redbridge,Health,2004,8000
Redbridge,"Arts, entertainment and recreation",2004,1000
Redbridge,Other services,2004,1750
Redbridge,Primary & Utilities,2005,150
Redbridge,Manufacturing,2005,2500
Redbridge,Construction,2005,4000
Redbridge,Wholesale,2005,3000
Redbridge,Retail,2005,9000
Redbridge,Transportation and Storage,2005,2500
Redbridge,Accomodation and food service activities,2005,4000
Redbridge,Information and Communication,2005,2500
Redbridge,Financial and insurance activities,2005,1500
Redbridge,"Professional, Real Estate, Scientific and technical activities",2005,8000
Redbridge,Administrative and support service activities,2005,7000
Redbridge,Public Admin and defence,2005,4000
Redbridge,Education,2005,7000
Redbridge,Health,2005,8000
Redbridge,"Arts, entertainment and recreation",2005,1000
Redbridge,Other services,2005,1750
Redbridge,Primary & Utilities,2006,175
Redbridge,Manufacturing,2006,2500
Redbridge,Construction,2006,3500
Redbridge,Wholesale,2006,3000
Redbridge,Retail,2006,9000
Redbridge,Transportation and Storage,2006,2250
Redbridge,Accomodation and food service activities,2006,4000
Redbridge,Information and Communication,2006,2500
Redbridge,Financial and insurance activities,2006,1250
Redbridge,"Professional, Real Estate, Scientific and technical activities",2006,6000
Redbridge,Administrative and support service activities,2006,5000
Redbridge,Public Admin and defence,2006,4000
Redbridge,Education,2006,7000
Redbridge,Health,2006,8000
Redbridge,"Arts, entertainment and recreation",2006,1000
Redbridge,Other services,2006,1750
Redbridge,Primary & Utilities,2007,175
Redbridge,Manufacturing,2007,2500
Redbridge,Construction,2007,4000
Redbridge,Wholesale,2007,3000
Redbridge,Retail,2007,9000
Redbridge,Transportation and Storage,2007,2250
Redbridge,Accomodation and food service activities,2007,4000
Redbridge,Information and Communication,2007,2500
Redbridge,Financial and insurance activities,2007,1250
Redbridge,"Professional, Real Estate, Scientific and technical activities",2007,6000
Redbridge,Administrative and support service activities,2007,5000
Redbridge,Public Admin and defence,2007,4500
Redbridge,Education,2007,8000
Redbridge,Health,2007,11000
Redbridge,"Arts, entertainment and recreation",2007,900
Redbridge,Other services,2007,1750
Redbridge,Primary & Utilities,2008,200
Redbridge,Manufacturing,2008,2250
Redbridge,Construction,2008,3500
Redbridge,Wholesale,2008,3000
Redbridge,Retail,2008,8000
Redbridge,Transportation and Storage,2008,7000
Redbridge,Accomodation and food service activities,2008,4000
Redbridge,Information and Communication,2008,3000
Redbridge,Financial and insurance activities,2008,1250
Redbridge,"Professional, Real Estate, Scientific and technical activities",2008,6000
Redbridge,Administrative and support service activities,2008,4500
Redbridge,Public Admin and defence,2008,4500
Redbridge,Education,2008,8000
Redbridge,Health,2008,10000
Redbridge,"Arts, entertainment and recreation",2008,1000
Redbridge,Other services,2008,1750
Redbridge,Primary & Utilities,2009,150
Redbridge,Manufacturing,2009,2500
Redbridge,Construction,2009,3000
Redbridge,Wholesale,2009,3000
Redbridge,Retail,2009,9000
Redbridge,Transportation and Storage,2009,3000
Redbridge,Accomodation and food service activities,2009,4000
Redbridge,Information and Communication,2009,2250
Redbridge,Financial and insurance activities,2009,1500
Redbridge,"Professional, Real Estate, Scientific and technical activities",2009,5000
Redbridge,Administrative and support service activities,2009,6000
Redbridge,Public Admin and defence,2009,5000
Redbridge,Education,2009,9000
Redbridge,Health,2009,11000
Redbridge,"Arts, entertainment and recreation",2009,1250
Redbridge,Other services,2009,1750
Redbridge,Primary & Utilities,2010,225
Redbridge,Manufacturing,2010,2000
Redbridge,Construction,2010,3000
Redbridge,Wholesale,2010,3000
Redbridge,Retail,2010,8000
Redbridge,Transportation and Storage,2010,2500
Redbridge,Accomodation and food service activities,2010,4000
Redbridge,Information and Communication,2010,2500
Redbridge,Financial and insurance activities,2010,1250
Redbridge,"Professional, Real Estate, Scientific and technical activities",2010,5000
Redbridge,Administrative and support service activities,2010,6000
Redbridge,Public Admin and defence,2010,4500
Redbridge,Education,2010,9000
Redbridge,Health,2010,11000
Redbridge,"Arts, entertainment and recreation",2010,1250
Redbridge,Other services,2010,1750
Redbridge,Primary & Utilities,2011,200
Redbridge,Manufacturing,2011,2000
Redbridge,Construction,2011,2500
Redbridge,Wholesale,2011,3000
Redbridge,Retail,2011,8000
Redbridge,Transportation and Storage,2011,3000
Redbridge,Accomodation and food service activities,2011,3500
Redbridge,Information and Communication,2011,3000
Redbridge,Financial and insurance activities,2011,1250
Redbridge,"Professional, Real Estate, Scientific and technical activities",2011,4500
Redbridge,Administrative and support service activities,2011,7000
Redbridge,Public Admin and defence,2011,5000
Redbridge,Education,2011,9000
Redbridge,Health,2011,11000
Redbridge,"Arts, entertainment and recreation",2011,1500
Redbridge,Other services,2011,1750
Redbridge,Primary & Utilities,2012,250
Redbridge,Manufacturing,2012,1500
Redbridge,Construction,2012,3500
Redbridge,Wholesale,2012,3000
Redbridge,Retail,2012,8000
Redbridge,Transportation and Storage,2012,2500
Redbridge,Accomodation and food service activities,2012,4000
Redbridge,Information and Communication,2012,3000
Redbridge,Financial and insurance activities,2012,1250
Redbridge,"Professional, Real Estate, Scientific and technical activities",2012,5000
Redbridge,Administrative and support service activities,2012,6000
Redbridge,Public Admin and defence,2012,4500
Redbridge,Education,2012,9000
Redbridge,Health,2012,13000
Redbridge,"Arts, entertainment and recreation",2012,1250
Redbridge,Other services,2012,1750
Redbridge,Primary & Utilities,2013,175
Redbridge,Manufacturing,2013,2000
Redbridge,Construction,2013,3500
Redbridge,Wholesale,2013,3000
Redbridge,Retail,2013,8000
Redbridge,Transportation and Storage,2013,2500
Redbridge,Accomodation and food service activities,2013,4000
Redbridge,Information and Communication,2013,3500
Redbridge,Financial and insurance activities,2013,1250
Redbridge,"Professional, Real Estate, Scientific and technical activities",2013,6000
Redbridge,Administrative and support service activities,2013,6000
Redbridge,Public Admin and defence,2013,4500
Redbridge,Education,2013,9000
Redbridge,Health,2013,12000
Redbridge,"Arts, entertainment and recreation",2013,1500
Redbridge,Other services,2013,1750
Redbridge,Primary & Utilities,2014,225
Redbridge,Manufacturing,2014,1750
Redbridge,Construction,2014,4000
Redbridge,Wholesale,2014,3500
Redbridge,Retail,2014,9000
Redbridge,Transportation and Storage,2014,2500
Redbridge,Accomodation and food service activities,2014,4500
Redbridge,Information and Communication,2014,4000
Redbridge,Financial and insurance activities,2014,1250
Redbridge,"Professional, Real Estate, Scientific and technical activities",2014,6000
Redbridge,Administrative and support service activities,2014,7000
Redbridge,Public Admin and defence,2014,4500
Redbridge,Education,2014,10000
Redbridge,Health,2014,12000
Redbridge,"Arts, entertainment and recreation",2014,1750
Redbridge,Other services,2014,1750
Redbridge,Primary & Utilities,2015,175
Redbridge,Manufacturing,2015,1750
Redbridge,Construction,2015,4500
Redbridge,Wholesale,2015,3500
Redbridge,Retail,2015,9000
Redbridge,Transportation and Storage,2015,3000
Redbridge,Accomodation and food service activities,2015,4000
Redbridge,Information and Communication,2015,4000
Redbridge,Financial and insurance activities,2015,1250
Redbridge,"Professional, Real Estate, Scientific and technical activities",2015,7000
Redbridge,Administrative and support service activities,2015,7000
Redbridge,Public Admin and defence,2015,4000
Redbridge,Education,2015,10000
Redbridge,Health,2015,13000
Redbridge,"Arts, entertainment and recreation",2015,1500
Redbridge,Other services,2015,1750
Redbridge,Primary & Utilities,2016,250
Redbridge,Manufacturing,2016,1750
Redbridge,Construction,2016,5000
Redbridge,Wholesale,2016,3000
Redbridge,Retail,2016,8000
Redbridge,Transportation and Storage,2016,3000
Redbridge,Accomodation and food service activities,2016,4500
Redbridge,Information and Communication,2016,4500
Redbridge,Financial and insurance activities,2016,1250
Redbridge,"Professional, Real Estate, Scientific and technical activities",2016,8000
Redbridge,Administrative and support service activities,2016,7000
Redbridge,Public Admin and defence,2016,3500
Redbridge,Education,2016,9000
Redbridge,Health,2016,12000
Redbridge,"Arts, entertainment and recreation",2016,1750
Redbridge,Other services,2016,2000
Redbridge,Primary & Utilities,2017,300
Redbridge,Manufacturing,2017,1500
Redbridge,Construction,2017,6000
Redbridge,Wholesale,2017,3500
Redbridge,Retail,2017,9000
Redbridge,Transportation and Storage,2017,3000
Redbridge,Accomodation and food service activities,2017,4500
Redbridge,Information and Communication,2017,4500
Redbridge,Financial and insurance activities,2017,1250
Redbridge,"Professional, Real Estate, Scientific and technical activities",2017,8000
Redbridge,Administrative and support service activities,2017,7000
Redbridge,Public Admin and defence,2017,4500
Redbridge,Education,2017,10000
Redbridge,Health,2017,14000
Redbridge,"Arts, entertainment and recreation",2017,1750
Redbridge,Other services,2017,1750
Redbridge,Primary & Utilities,2018,250
Redbridge,Manufacturing,2018,1500
Redbridge,Construction,2018,6000
Redbridge,Wholesale,2018,3500
Redbridge,Retail,2018,8000
Redbridge,Transportation and Storage,2018,2500
Redbridge,Accomodation and food service activities,2018,5000
Redbridge,Information and Communication,2018,4000
Redbridge,Financial and insurance activities,2018,1250
Redbridge,"Professional, Real Estate, Scientific and technical activities",2018,8000
Redbridge,Administrative and support service activities,2018,8000
Redbridge,Public Admin and defence,2018,5000
Redbridge,Education,2018,9000
Redbridge,Health,2018,12000
Redbridge,"Arts, entertainment and recreation",2018,1750
Redbridge,Other services,2018,1750
Redbridge,Primary & Utilities,2019,250
Redbridge,Manufacturing,2019,1750
Redbridge,Construction,2019,5000
Redbridge,Wholesale,2019,4000
Redbridge,Retail,2019,8000
Redbridge,Transportation and Storage,2019,3500
Redbridge,Accomodation and food service activities,2019,5000
Redbridge,Information and Communication,2019,4500
Redbridge,Financial and insurance activities,2019,1250
Redbridge,"Professional, Real Estate, Scientific and technical activities",2019,8000
Redbridge,Administrative and support service activities,2019,7000
Redbridge,Public Admin and defence,2019,5000
Redbridge,Education,2019,9000
Redbridge,Health,2019,12000
Redbridge,"Arts, entertainment and recreation",2019,2250
Redbridge,Other services,2019,1750
Redbridge,Primary & Utilities,2020,250
Redbridge,Manufacturing,2020,1750
Redbridge,Construction,2020,5000
Redbridge,Wholesale,2020,3500
Redbridge,Retail,2020,9000
Redbridge,Transportation and Storage,2020,3500
Redbridge,Accomodation and food service activities,2020,5000
Redbridge,Information and Communication,2020,3500
Redbridge,Financial and insurance activities,2020,1250
Redbridge,"Professional, Real Estate, Scientific and technical activities",2020,8000
Redbridge,Administrative and support service activities,2020,7000
Redbridge,Public Admin and defence,2020,5000
Redbridge,Education,2020,9000
Redbridge,Health,2020,13000
Redbridge,"Arts, entertainment and recreation",2020,1750
Redbridge,Other services,2020,1750
Redbridge,Primary & Utilities,2021,450
Redbridge,Manufacturing,2021,1250
Redbridge,Construction,2021,6000
Redbridge,Wholesale,2021,3500
Redbridge,Retail,2021,9000
Redbridge,Transportation and Storage,2021,3000
Redbridge,Accomodation and food service activities,2021,5000
Redbridge,Information and Communication,2021,3000
Redbridge,Financial and insurance activities,2021,1250
Redbridge,"Professional, Real Estate, Scientific and technical activities",2021,8000
Redbridge,Administrative and support service activities,2021,9000
Redbridge,Public Admin and defence,2021,5000
Redbridge,Education,2021,9000
Redbridge,Health,2021,14000
Redbridge,"Arts, entertainment and recreation",2021,2000
Redbridge,Other services,2021,2000
Richmond upon Thames,Primary & Utilities,1996,700
Richmond upon Thames,Manufacturing,1996,3500
Richmond upon Thames,Construction,1996,2000
Richmond upon Thames,Wholesale,1996,3500
Richmond upon Thames,Retail,1996,6000
Richmond upon Thames,Transportation and Storage,1996,2000
Richmond upon Thames,Accomodation and food service activities,1996,4500
Richmond upon Thames,Information and Communication,1996,5000
Richmond upon Thames,Financial and insurance activities,1996,1750
Richmond upon Thames,"Professional, Real Estate, Scientific and technical activities",1996,8000
Richmond upon Thames,Administrative and support service activities,1996,6000
Richmond upon Thames,Public Admin and defence,1996,5000
Richmond upon Thames,Education,1996,4500
Richmond upon Thames,Health,1996,4000
Richmond upon Thames,"Arts, entertainment and recreation",1996,3000
Richmond upon Thames,Other services,1996,1500
Richmond upon Thames,Primary & Utilities,1997,600
Richmond upon Thames,Manufacturing,1997,3500
Richmond upon Thames,Construction,1997,3000
Richmond upon Thames,Wholesale,1997,3000
Richmond upon Thames,Retail,1997,5000
Richmond upon Thames,Transportation and Storage,1997,1750
Richmond upon Thames,Accomodation and food service activities,1997,4000
Richmond upon Thames,Information and Communication,1997,5000
Richmond upon Thames,Financial and insurance activities,1997,1750
Richmond upon Thames,"Professional, Real Estate, Scientific and technical activities",1997,8000
Richmond upon Thames,Administrative and support service activities,1997,7000
Richmond upon Thames,Public Admin and defence,1997,3500
Richmond upon Thames,Education,1997,6000
Richmond upon Thames,Health,1997,4500
Richmond upon Thames,"Arts, entertainment and recreation",1997,2500
Richmond upon Thames,Other services,1997,1500
Richmond upon Thames,Primary & Utilities,1998,450
Richmond upon Thames,Manufacturing,1998,4000
Richmond upon Thames,Construction,1998,2500
Richmond upon Thames,Wholesale,1998,3500
Richmond upon Thames,Retail,1998,7000
Richmond upon Thames,Transportation and Storage,1998,2000
Richmond upon Thames,Accomodation and food service activities,1998,5000
Richmond upon Thames,Information and Communication,1998,5000
Richmond upon Thames,Financial and insurance activities,1998,1750
Richmond upon Thames,"Professional, Real Estate, Scientific and technical activities",1998,16000
Richmond upon Thames,Administrative and support service activities,1998,15000
Richmond upon Thames,Public Admin and defence,1998,3500
Richmond upon Thames,Education,1998,6000
Richmond upon Thames,Health,1998,4500
Richmond upon Thames,"Arts, entertainment and recreation",1998,2250
Richmond upon Thames,Other services,1998,1750
Richmond upon Thames,Primary & Utilities,1999,800
Richmond upon Thames,Manufacturing,1999,4000
Richmond upon Thames,Construction,1999,2250
Richmond upon Thames,Wholesale,1999,3500
Richmond upon Thames,Retail,1999,7000
Richmond upon Thames,Transportation and Storage,1999,2250
Richmond upon Thames,Accomodation and food service activities,1999,6000
Richmond upon Thames,Information and Communication,1999,6000
Richmond upon Thames,Financial and insurance activities,1999,1500
Richmond upon Thames,"Professional, Real Estate, Scientific and technical activities",1999,8000
Richmond upon Thames,Administrative and support service activities,1999,7000
Richmond upon Thames,Public Admin and defence,1999,3500
Richmond upon Thames,Education,1999,6000
Richmond upon Thames,Health,1999,5000
Richmond upon Thames,"Arts, entertainment and recreation",1999,3000
Richmond upon Thames,Other services,1999,2000
Richmond upon Thames,Primary & Utilities,2000,800
Richmond upon Thames,Manufacturing,2000,4000
Richmond upon Thames,Construction,2000,2500
Richmond upon Thames,Wholesale,2000,3500
Richmond upon Thames,Retail,2000,7000
Richmond upon Thames,Transportation and Storage,2000,2000
Richmond upon Thames,Accomodation and food service activities,2000,5000
Richmond upon Thames,Information and Communication,2000,7000
Richmond upon Thames,Financial and insurance activities,2000,1500
Richmond upon Thames,"Professional, Real Estate, Scientific and technical activities",2000,8000
Richmond upon Thames,Administrative and support service activities,2000,8000
Richmond upon Thames,Public Admin and defence,2000,2500
Richmond upon Thames,Education,2000,4500
Richmond upon Thames,Health,2000,4500
Richmond upon Thames,"Arts, entertainment and recreation",2000,2500
Richmond upon Thames,Other services,2000,2000
Richmond upon Thames,Primary & Utilities,2001,1250
Richmond upon Thames,Manufacturing,2001,3500
Richmond upon Thames,Construction,2001,3000
Richmond upon Thames,Wholesale,2001,4000
Richmond upon Thames,Retail,2001,8000
Richmond upon Thames,Transportation and Storage,2001,2250
Richmond upon Thames,Accomodation and food service activities,2001,6000
Richmond upon Thames,Information and Communication,2001,7000
Richmond upon Thames,Financial and insurance activities,2001,1500
Richmond upon Thames,"Professional, Real Estate, Scientific and technical activities",2001,9000
Richmond upon Thames,Administrative and support service activities,2001,9000
Richmond upon Thames,Public Admin and defence,2001,2500
Richmond upon Thames,Education,2001,5000
Richmond upon Thames,Health,2001,4000
Richmond upon Thames,"Arts, entertainment and recreation",2001,3000
Richmond upon Thames,Other services,2001,2250
Richmond upon Thames,Primary & Utilities,2002,400
Richmond upon Thames,Manufacturing,2002,3500
Richmond upon Thames,Construction,2002,3000
Richmond upon Thames,Wholesale,2002,3500
Richmond upon Thames,Retail,2002,7000
Richmond upon Thames,Transportation and Storage,2002,2250
Richmond upon Thames,Accomodation and food service activities,2002,6000
Richmond upon Thames,Information and Communication,2002,7000
Richmond upon Thames,Financial and insurance activities,2002,1500
Richmond upon Thames,"Professional, Real Estate, Scientific and technical activities",2002,8000
Richmond upon Thames,Administrative and support service activities,2002,7000
Richmond upon Thames,Public Admin and defence,2002,3500
Richmond upon Thames,Education,2002,5000
Richmond upon Thames,Health,2002,4000
Richmond upon Thames,"Arts, entertainment and recreation",2002,3000
Richmond upon Thames,Other services,2002,2250
Richmond upon Thames,Primary & Utilities,2003,350
Richmond upon Thames,Manufacturing,2003,3000
Richmond upon Thames,Construction,2003,3000
Richmond upon Thames,Wholesale,2003,3000
Richmond upon Thames,Retail,2003,8000
Richmond upon Thames,Transportation and Storage,2003,2250
Richmond upon Thames,Accomodation and food service activities,2003,7000
Richmond upon Thames,Information and Communication,2003,7000
Richmond upon Thames,Financial and insurance activities,2003,1500
Richmond upon Thames,"Professional, Real Estate, Scientific and technical activities",2003,9000
Richmond upon Thames,Administrative and support service activities,2003,7000
Richmond upon Thames,Public Admin and defence,2003,3000
Richmond upon Thames,Education,2003,6000
Richmond upon Thames,Health,2003,4500
Richmond upon Thames,"Arts, entertainment and recreation",2003,2500
Richmond upon Thames,Other services,2003,2000
Richmond upon Thames,Primary & Utilities,2004,350
Richmond upon Thames,Manufacturing,2004,3000
Richmond upon Thames,Construction,2004,3000
Richmond upon Thames,Wholesale,2004,3000
Richmond upon Thames,Retail,2004,7000
Richmond upon Thames,Transportation and Storage,2004,2000
Richmond upon Thames,Accomodation and food service activities,2004,6000
Richmond upon Thames,Information and Communication,2004,7000
Richmond upon Thames,Financial and insurance activities,2004,1500
Richmond upon Thames,"Professional, Real Estate, Scientific and technical activities",2004,9000
Richmond upon Thames,Administrative and support service activities,2004,7000
Richmond upon Thames,Public Admin and defence,2004,3000
Richmond upon Thames,Education,2004,7000
Richmond upon Thames,Health,2004,4500
Richmond upon Thames,"Arts, entertainment and recreation",2004,3000
Richmond upon Thames,Other services,2004,2250
Richmond upon Thames,Primary & Utilities,2005,450
Richmond upon Thames,Manufacturing,2005,2500
Richmond upon Thames,Construction,2005,2500
Richmond upon Thames,Wholesale,2005,2500
Richmond upon Thames,Retail,2005,8000
Richmond upon Thames,Transportation and Storage,2005,1750
Richmond upon Thames,Accomodation and food service activities,2005,7000
Richmond upon Thames,Information and Communication,2005,6000
Richmond upon Thames,Financial and insurance activities,2005,1500
Richmond upon Thames,"Professional, Real Estate, Scientific and technical activities",2005,10000
Richmond upon Thames,Administrative and support service activities,2005,7000
Richmond upon Thames,Public Admin and defence,2005,3000
Richmond upon Thames,Education,2005,7000
Richmond upon Thames,Health,2005,5000
Richmond upon Thames,"Arts, entertainment and recreation",2005,2500
Richmond upon Thames,Other services,2005,2000
Richmond upon Thames,Primary & Utilities,2006,500
Richmond upon Thames,Manufacturing,2006,2250
Richmond upon Thames,Construction,2006,2500
Richmond upon Thames,Wholesale,2006,2500
Richmond upon Thames,Retail,2006,7000
Richmond upon Thames,Transportation and Storage,2006,2000
Richmond upon Thames,Accomodation and food service activities,2006,6000
Richmond upon Thames,Information and Communication,2006,6000
Richmond upon Thames,Financial and insurance activities,2006,2000
Richmond upon Thames,"Professional, Real Estate, Scientific and technical activities",2006,11000
Richmond upon Thames,Administrative and support service activities,2006,8000
